Q\Phi0	-5 deg	  -10 deg	  -15 deg	  -20 deg	  -25 deg	  -30 deg	  -35 deg	  -40 deg	  -45 deg	  -50 deg	  -55 deg	  -60 deg	  -65 deg	  -70 deg	  -75 deg	  -80 deg	  -85 deg	  -90 deg
0.370	1.0872664	1.1820847	1.2850358	1.3967373	1.5178473	1.6490694	1.7911582	1.9449267	2.1112535	2.2910925	2.4854823	2.6955582	2.9225648	3.1678702	3.4329827	3.7195683	4.0294723	4.3647422
0.375	1.0870877	1.1816884	1.2843692	1.3957307	1.5164111	1.6470905	1.7884975	1.9414150	2.1066884	2.2852346	2.4780514	2.6862289	2.9109619	3.1535636	3.4154815	3.6983144	4.0038323	4.3339990
0.380	1.0869516	1.1813843	1.2838514	1.3949367	1.5152585	1.6454741	1.7862857	1.9384470	2.1027708	2.2801376	2.4715057	2.6779216	2.9005322	3.1405981	3.3995088	3.6787989	3.9801673	4.3054984
0.385	1.0868583	1.1811726	1.2834824	1.3943549	1.5143886	1.6442178	1.7845187	1.9360159	2.0994901	2.2757864	2.4658245	2.6706086	2.8912396	3.1289276	3.3850066	3.6609503	3.9583900	4.2791352
0.390	1.0868081	1.1810538	1.2832629	1.3939859	1.5138012	1.6433204	1.7831935	1.9341163	2.0968376	2.2721680	2.4609893	2.6642648	2.8830510	3.1185096	3.3719215	3.6447024	3.9384196	4.2548113
0.395	1.0868013	1.1810286	1.2831939	1.3938306	1.5134971	1.6427817	1.7823084	1.9327441	2.0948062	2.2692710	2.4569835	2.6588674	2.8759360	3.1093047	3.3602039	3.6299937	3.9201805	4.2324355
0.400	1.0868386	1.1810982	1.2832768	1.3938907	1.5134776	1.6426023	1.7818627	1.9318966	2.0933900	2.2670857	2.4537926	2.6543957	2.8698669	3.1012768	3.3498075	3.6167665	3.9036024	4.2119223
0.405	1.0869205	1.1812638	1.2835136	1.3941684	1.5137449	1.6427840	1.7818568	1.9315721	2.0925848	2.2656042	2.4514038	2.6508311	2.8648181	3.0943923	3.3406897	3.6049675	3.8886193	4.1931921
0.410	1.0870479	1.1815272	1.2839067	1.3946666	1.5143021	1.6433294	1.7822924	1.9317706	2.0923875	2.2648197	2.4498059	2.6481570	2.8607662	3.0886201	3.3328102	3.5945462	3.8751695	4.1761698
0.415	1.0872217	1.1818902	1.2844590	1.3953891	1.5151532	1.6442421	1.7831720	1.9324927	2.0927965	2.2647271	2.4489892	2.6463581	2.8576897	3.0839311	3.3261317	3.5854556	3.8631950	4.1607853
0.420	1.0874431	1.1823552	1.2851739	1.3963399	1.5163027	1.6455266	1.7844994	1.9337407	2.0938112	2.2653223	2.4489453	2.6454208	2.8555688	3.0802984	3.3206189	3.5776513	3.8526409	4.1469719
0.425	1.0877133	1.1829248	1.2860553	1.3975243	1.5177564	1.6471887	1.7862794	1.9355175	2.0954323	2.2666027	2.4496672	2.6453329	2.8543850	3.0776966	3.3162387	3.5710913	3.8434555	4.1346669
0.430	1.0880337	1.1836022	1.2871078	1.3989479	1.5195207	1.6492347	1.7885178	1.9378276	2.0976614	2.2685664	2.4511488	2.6460832	2.8541214	3.0761020	3.3129598	3.5657358	3.8355895	4.1238109
0.435	1.0884060	1.1843906	1.2883367	1.4006173	1.5216031	1.6516724	1.7912216	1.9406761	2.1005014	2.2712129	2.4533852	2.6476616	2.8547620	3.0754921	3.3107522	3.5615470	3.8289963	4.1143471
0.440	1.0888321	1.1852941	1.2897477	1.4025400	1.5240121	1.6545104	1.7943986	1.9440693	2.1039559	2.2745422	2.4563724	2.6500591	2.8562920	3.0758455	3.3095877	3.5584887	3.8236311	4.1062215
0.445	1.0893140	1.1863169	1.2913474	1.4047244	1.5267571	1.6577585	1.7980579	1.9480146	2.1080295	2.2785555	2.4601069	2.6532672	2.8586971	3.0771419	3.3094388	3.5565260	3.8194512	4.0993826
0.450	1.0898541	1.1874640	1.2931431	1.4071796	1.5298487	1.6614273	1.8022094	1.9525201	2.1127276	2.2832545	2.4645860	2.6572780	2.8619640	3.0793615	3.3102794	3.5556256	3.8164151	4.0937806
0.455	1.0904549	1.1887407	1.2951430	1.4099161	1.5332984	1.6655288	1.8068644	1.9575949	2.1180564	2.2886414	2.4698075	2.6620843	2.8660795	3.0824853	3.3120839	3.5557549	3.8144832	4.0893679
0.460	1.0911194	1.1901532	1.2973560	1.4129453	1.5371191	1.6700761	1.8120347	1.9632489	2.1240226	2.2947191	2.4757696	2.6676790	2.8710312	3.0864947	3.3148273	3.5568826	3.8136169	4.0860983
0.465	1.0918508	1.1917082	1.2997923	1.4162796	1.5413248	1.6750834	1.8177334	1.9694929	2.1306336	2.3014908	2.4824706	2.6740552	2.8768066	3.0913715	3.3184853	3.5589776	3.8137786	4.0839272
0.470	1.0926526	1.1934132	1.3024628	1.4199330	1.5459308	1.6805660	1.8239747	1.9763383	2.1378971	2.3089598	2.4899091	2.6812060	2.8833932	3.0970974	3.3230337	3.5620098	3.8149317	4.0828114
0.475	1.0935289	1.1952764	1.3053799	1.4239205	1.5509537	1.6865404	1.8307733	1.9837970	2.1458213	2.3171296	2.4980833	2.6891247	2.8907785	3.1036542	3.3284486	3.5659493	3.8170403	4.0827084
0.480	1.0944841	1.1973071	1.3085570	1.4282588	1.5564116	1.6930243	1.8381450	1.9918816	2.1544145	2.3260037	2.5069916	2.6978038	2.8989498	3.1110238	3.3347062	3.5707667	3.8200692	4.0835772
0.485	1.0955231	1.1995155	1.3120090	1.4329660	1.5623240	1.7000368	1.8461065	2.0006050	2.1636850	2.3355854	2.5166318	2.7072358	2.9078941	3.1191875	3.3417825	3.5764327	3.8239836	4.0853774
0.490	1.0966515	1.2019130	1.3157524	1.4380619	1.5687118	1.7075976	1.8546750	2.0099805	2.1736413	2.3458776	2.5270012	2.7174126	2.9175976	3.1281265	3.3496535	3.5829182	3.8287492	4.0880694
0.495	1.0978755	1.2045123	1.3198052	1.4435679	1.5755975	1.7157281	1.8638685	2.0200214	2.1842912	2.3568826	2.5380967	2.7283252	2.9280463	3.1378215	3.3582949	3.5901939	3.8343322	4.0916145
0.500	1.0992019	1.2073274	1.3241874	1.4495076	1.5830052	1.7244505	1.8737052	2.0307410	2.1956424	2.3686022	2.549914	2.7399641	2.9392252	3.1482526	3.3676821	3.5982307	3.8406987	4.0959744
